id,label,properties
14364,date,datetime,1968-09-22
14196,date,datetime,1968-06-30
12401,date,datetime,1966-09-10
10443,date,datetime,1963-12-05
14846,date,datetime,1968-12-18
10867,date,datetime,1970-05-01
12984,date,datetime,1967-04-21
26339,date,datetime,1922-04-10
16116,date,datetime,1977-09-19
16463,date,datetime,1970-07-03
15277,date,datetime,1969-05-13
13376,date,datetime,1967-08-23
26974,date,datetime,1921-11-26
25817,date,datetime,1908-12-01
27072,date,datetime,1922-04-18
11956,date,datetime,1966-04-02
21099,date,datetime,2007-04-18
15303,date,datetime,1969-06-03
26666,date,datetime,1911-08-03
20157,date,datetime,1963-03-15
20139,date,datetime,1962-10-27
21000,date,datetime,1966-08-09
20189,date,datetime,1965-06-28
16540,date,datetime,1971-08-02
14506,date,datetime,1968-11-11
16164,date,datetime,1979-07-23
21169,date,datetime,2006-11-28
25863,date,datetime,1929-08-04
10185,date,datetime,1963-11-20
23906,date,datetime,1974-11-26
19327,date,datetime,1967-03-07
10470,date,datetime,1963-12-03
24335,date,datetime,1963-01-23
27104,date,datetime,1890-01-01
20435,date,datetime,1963-06-04
44,date,datetime,1928-08-06
14583,date,datetime,1968-09-04
25739,date,datetime,1934-06-02
26164,date,datetime,1910-10-03
13057,date,datetime,1967-04-30
21126,date,datetime,1962-12-13
16495,date,datetime,1971-06-10
14092,date,datetime,1968-06-05
20918,date,datetime,1660-01-01
10090,date,datetime,1955-02-01
20262,date,datetime,1962-11-21
26000,date,datetime,1924-02-16
24273,date,datetime,1963-01-22
26848,date,datetime,1913-07-19
14082,date,datetime,1968-05-10
19709,date,datetime,2004-12-15
12294,date,datetime,1966-08-12
13707,date,datetime,1968-02-29
12273,date,datetime,1966-08-07
18309,date,datetime,1974-03-19
25732,date,datetime,1911-07-13
9759,date,datetime,1963-09-18
12637,date,datetime,1966-11-17
21253,date,datetime,1963-02-09
22099,date,datetime,1963-03-01
15727,date,datetime,1974-04-17
14660,date,datetime,1968-11-14
16145,date,datetime,1977-10-15
21327,date,datetime,1884-01-01
